iter	F1	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
320	0.7690880687	0.4082140628	0.8104907209	0.8337187416
321	0.7690580223	0.4081526655	0.8104706882	0.833707986
322	0.7691782025	0.4080726844	0.8105387993	0.8337187416
323	0.7692833398	0.4079734899	0.8106389628	0.833837053
324	0.7695386673	0.4078960624	0.8108392897	0.8340091422
325	0.7692683284	0.4077782215	0.8106710151	0.8339446088
326	0.7698764372	0.4076237379	0.8110676624	0.8341382092
327	0.7698389072	0.4075850725	0.8110396167	0.834116698
328	0.7697489164	0.4073972313	0.8110035578	0.8341489648
329	0.7699289507	0.4073076336	0.8110997147	0.8341489648
330	0.7699964867	0.4071606069	0.8111477932	0.8341812315
331	0.7701166252	0.4070414316	0.8112519632	0.8342887873
332	0.7703041599	0.4069694692	0.8113801724	0.8343640764
333	0.7704766086	0.4068653341	0.8114923555	0.8344178543
334	0.7705141151	0.4067904942	0.8115204013	0.8344393654
335	0.7706041611	0.4066880765	0.811592519	0.8345038989
336	0.7704914834	0.4065794373	0.8114843424	0.8343748319
337	0.7706342353	0.4064991606	0.8116245713	0.8345469212
338	0.7705067596	0.4064319727	0.8115364274	0.8344931433
339	0.7705293974	0.4063147993	0.8115724863	0.8345576768
340	0.7707095251	0.4062677482	0.8117167217	0.8346867437
341	0.7707543626	0.4061696975	0.8117287413	0.834654477
342	0.7708217481	0.4060643963	0.8117648002	0.834654477
343	0.770806808	0.4060170052	0.8117607936	0.8346652326
344	0.7710694094	0.4059566579	0.8119691336	0.8348480774
345	0.7711367561	0.4058855471	0.8120051925	0.8348480774
346	0.7713091528	0.405756073	0.8121293952	0.8349341221
347	0.7715718215	0.4056944719	0.8123497548	0.8351492337
348	0.7717289537	0.4055009671	0.8124459117	0.8351815004
349	0.7717662662	0.4054810618	0.8124619379	0.8351707448
350	0.7718487313	0.4054144605	0.8125260425	0.8352245227
351	0.771991243	0.4053206273	0.8126422321	0.8353320785
352	0.7720659932	0.4051533882	0.812686304	0.8353428341
353	0.7721484428	0.4050913134	0.8127504087	0.835396612
354	0.7722683463	0.4049905195	0.8128425591	0.835471901
355	0.7722083012	0.4049313305	0.8127904741	0.8354181232
356	0.7726133716	0.4047865579	0.8131270233	0.8357407905
357	0.7726138004	0.4047264398	0.8131510625	0.835805324
358	0.7725464191	0.4046471853	0.8131029841	0.8357730573
359	0.7725537423	0.4045791827	0.8130989775	0.8357515461
360	0.7723815097	0.4045140057	0.8129747748	0.8356655015
361	0.7725759193	0.4044443924	0.8130989775	0.8357192794
362	0.7726437219	0.4043651477	0.8131710952	0.8358160796
363	0.7727188509	0.4042532197	0.8132392064	0.8358913686
364	0.7728015213	0.4041663086	0.8133153306	0.8359774133
365	0.7729284892	0.4040889399	0.8133914549	0.8359989244
366	0.7730179776	0.4040392024	0.8134395333	0.8359989244
367	0.7732423541	0.4039565459	0.8135957883	0.8360957247
368	0.7732875811	0.4038400733	0.8136438668	0.8361602581
369	0.7732205009	0.4037111455	0.8136078079	0.8361602581
370	0.7732199953	0.4036572987	0.8135837687	0.8360957247
371	0.7731900976	0.4036191554	0.813563736	0.8360849691
372	0.773377	0.4035483886	0.8136919453	0.8361602581
373	0.7733398319	0.4034950872	0.8136759191	0.8361710137
374	0.7735420545	0.4033972213	0.8138321741	0.8363000807
