iter	Passed	Remaining
1469	44076	15891
1470	44108	15862
1471	44143	15834
1472	44170	15802
1473	44196	15771
1474	44220	15739
1475	44250	15709
1476	44283	15680
1477	44335	15658
1478	44397	15639
1479	44430	15610
1480	44459	15580
1481	44491	15550
1482	44522	15521
1483	44560	15494
1484	44615	15472
1485	44659	15447
1486	44703	15422
1487	44735	15392
1488	44770	15364
1489	44803	15335
1490	44836	15306
1491	44865	15275
1492	44891	15244
1493	44921	15214
1494	44947	15182
1495	44979	15153
1496	45015	15125
1497	45073	15104
1498	45113	15077
1499	45150	15050
1500	45188	15022
1501	45224	14994
1502	45254	14964
1503	45286	14934
1504	45320	14906
1505	45350	14875
1506	45430	14862
1507	45481	14838
1508	45533	14815
1509	45585	14792
1510	45628	14766
1511	45660	14737
1512	45693	14707
1513	45724	14677
1514	45748	14645
1515	45784	14617
1516	45821	14589
1517	45852	14559
1518	45888	14530
1519	45930	14504
1520	45975	14478
1521	46018	14452
1522	46055	14424
1523	46094	14397
1524	46133	14369
1525	46167	14340
1526	46194	14309
1527	46228	14280
1528	46252	14247
1529	46283	14217
1530	46318	14189
1531	46359	14162
1532	46401	14135
1533	46466	14115
1534	46524	14093
1535	46559	14064
1536	46590	14034
1537	46624	14005
1538	46661	13977
1539	46694	13947
1540	46724	13917
1541	46755	13887
1542	46795	13859
1543	46833	13831
1544	46872	13803
1545	46909	13775
1546	46946	13747
1547	46979	13717
1548	47015	13688
1549	47048	13659
1550	47079	13629
1551	47113	13599
1552	47156	13573
1553	47209	13549
1554	47248	13521
1555	47276	13490
1556	47302	13458
1557	47339	13430
1558	47372	13400
1559	47413	13372
1560	47446	13343
1561	47488	13316
1562	47577	13302
1563	47618	13274
1564	47663	13248
1565	47699	13219
1566	47725	13187
1567	47754	13156
1568	47780	13125
1569	47809	13094
1570	47838	13063
1571	47873	13034
1572	47905	13004
1573	47928	12971
1574	47950	12939
1575	47975	12907
1576	48006	12876
1577	48047	12849
1578	48086	12820
1579	48119	12791
1580	48143	12759
1581	48174	12728
1582	48204	12698
1583	48235	12667
1584	48266	12637
1585	48292	12606
1586	48320	12574
1587	48350	12544
1588	48394	12517
1589	48428	12487
1590	48463	12458
1591	48491	12427
1592	48521	12396
1593	48554	12367
1594	48634	12349
1595	48669	12319
1596	48698	12289
1597	48734	12259
1598	48757	12227
1599	48782	12195
1600	48809	12164
1601	48843	12134
1602	48874	12104
1603	48894	12071
1604	48918	12039
1605	48949	12008
1606	48989	11980
1607	49022	11950
1608	49056	11921
1609	49091	11891
1610	49127	11862
1611	49157	11831
1612	49184	11800
1613	49209	11768
1614	49238	11738
1615	49275	11709
1616	49306	11678
1617	49340	11649
1618	49378	11620
1619	49412	11590
1620	49446	11560
1621	49488	11533
1622	49527	11504
1623	49558	11474
1624	49590	11443
1625	49647	11419
1626	49731	11401
1627	49770	11372
1628	49794	11340
1629	49825	11310
1630	49854	11279
1631	49886	11248
1632	49925	11220
1633	49953	11189
1634	49982	11158
1635	50011	11127
1636	50044	11097
1637	50076	11066
1638	50110	11037
1639	50145	11007
1640	50172	10976
1641	50203	10945
1642	50236	10915
1643	50266	10884
1644	50294	10853
1645	50325	10823
1646	50350	10791
1647	50380	10760
1648	50410	10730
1649	50439	10699
1650	50475	10669
1651	50508	10639
1652	50538	10609
1653	50570	10578
1654	50597	10547
1655	50623	10515
1656	50657	10486
1657	50684	10454
1658	50772	10436
1659	50804	10405
1660	50835	10375
1661	50865	10344
1662	50894	10313
1663	50925	10282
1664	50960	10253
